id,amazonBiomeArea_ha_25Sites,forestArea_1985_ha_25Sites,forestArea_2017_ha_25Sites,theta_25Sites,thetaSD_25Sites,thetaBootstrap_25Sites,thetaSDBootstrap_25Sites,gamma_25Sites,gammaSD_25Sites,gammaBootstrap_25Sites,gammaSDBootstrap_25Sites,z_2017_25Sites,zbar_2017_25Sites,x_2017_25Sites,b_25Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,z_1985_25Sites,zbar_1985_25Sites,gamma2017_25Sites,gamma2010_25Sites,gamma2018_25Sites,a_25Sites,k_25Sites,zeta_25Sites,zeta_alt_25Sites,rho_25Sites,r_25Sites,theta2017_25Sites,theta2006_25Sites,thetaSurvey_25Sites,thetaGDP_25Sites,p_2017_25Sites,p_2017_alt_25Sites
1,835019.24706884,826667.9012445695,827265.5800701508,0.009738465297431918,0.007415049293308833,0.007124793768727126,0.004199239694566227,516.8855712660554,22.01380318324668,516.7489812865497,1.7030550255584442,577.0929400978703,827842.6730102487,427601641.9433046,19258669.424009915,1,1,0.3895838970568778,0.02181669823518516,749.3967995276583,827417.2980440971,529.3321398483572,491.4680240694094,529.8565498803996,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.01498169693556311,0.004495233659300725,1.6970745812937604,12.22816368722004,44.758760469833035,43.34917824284919
2,5983815.8727424415,5909258.384512059,5918368.32325191,0.009740588125793192,0.007418051425967937,0.010463209829859498,0.004385846673511003,488.95668786037106,12.306508434932484,488.95207295446204,0.6980969571534821,5589.185180833704,5923957.508432743,2893825772.8749914,130366613.92938201,0,0,13203.46172006977,15888.358730418193,9365.719671075865,5918624.104183136,497.230132990658,474.81433042700644,494.82560016344877,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.014985942592285658,0.004495233659300725,3.934086050435328,13.14067709398186,44.758760469833035,43.34917824284919
3,21167120.751716275,16126906.099648783,15481629.502034862,0.14542111056205032,0.018278073257192367,0.1586430624221457,0.0569164634382318,535.7933371978481,23.344793840409476,535.5762476378243,0.45005445790829823,787674.0828325496,16269303.58486741,8294953936.155918,392328928.3088873,0,0,657970.0700704524,1019375.9753759223,158475.27165243018,16285381.371301213,550.2014890953416,508.8589984879194,548.3195240102835,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.1324965610148651,0.1583456601092355,8.17268044774142,21.33378969305901,44.758760469833035,43.34917824284919
4,8842695.163339837,8269181.1560379565,8307459.240169194,1.223269896267965,0.08461228532335986,1.2047555535114516,0.13057972925574232,614.384762285207,32.19887998692394,614.3214011971393,0.7533895505687082,9646.86174464566,8317106.10191384,5103976370.465396,229983531.20283216,0,0,72379.50462935146,116427.16726448695,12636.79415813644,8281817.950196093,633.9185476815397,577.2209483461448,632.0147908279363,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.163439975544126,1.2830998169918035,3.30166721856436,14.252556833826795,44.758760469833035,43.34917824284919
5,13137913.82653348,11268912.505647274,11364087.944410058,1.4385743282615056,0.3635665675933291,1.4969813705678867,0.08048931013271618,697.3408596340032,33.05522160361185,697.2319542174631,0.7249590724511104,128634.50305749544,11492722.447467552,7924642856.111322,360704940.9790129,0,0,263884.95893972827,451371.525146347,87744.87902048722,11356657.384667762,720.1206058491772,659.4281652767247,712.4738077761077,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.695654713619466,1.1814939429035454,3.337527996371672,16.09147022049834,44.758760469833035,43.34917824284919
6,3741019.2315529953,3640159.5822013887,3625744.465382131,0.4101376328710762,0.511940515413409,0.4728637514546234,0.16464486693066116,594.3844076490544,20.865073626717365,594.3157728783785,0.9304592232199981,16248.65368515371,3641993.1190672847,2155085976.342995,97429525.88828304,0,0,735.6963381769696,567.3773296241968,11607.264475832115,3651766.846677221,606.1103208788273,570.2943142144638,606.7485878538721,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.04814102285811841,0.772134242884034,1.877018577069315,9.594673783008554,44.758760469833035,43.34917824284919
7,28939360.5,27845251.67766944,27864744.22980033,0.6051612347750113,0.6614009185473805,0.7348275762288755,0.11838259119453663,540.1896966796447,10.448797341711279,540.1462651721326,0.2625603655809542,77127.05958015787,27941871.289380487,15052247733.55172,679337899.8736719,0,0,9713.055330639318,5098.447119747199,92310.10168684223,27937561.779356282,548.0570523423097,528.3341565643539,544.1778811322707,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.1374801601871472,1.0728423093628754,2.5351786312465188,10.87273783137892,44.758760469833035,43.34917824284919
8,28939360.5,26206983.47137695,25617910.732513636,1.1292493414090472,0.6110682604426211,1.1382082780774128,0.1801439321690339,502.09011583461455,7.972106752906201,502.0710150040976,0.2750727567338638,413615.3758627868,26031526.108376425,12862499767.128588,588254640.1345257,0,0,158473.9195550493,172554.9607788763,205584.58825471177,26412568.059631664,507.2523540759416,492.9083938373519,506.1095995905501,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.6971588306822025,1.5613398521358919,4.728825360228828,13.525235395369453,44.758760469833035,43.34917824284919
9,28939360.5,25872554.303925265,25078486.645422757,1.6819386569999817,0.40278493388755565,1.6136257220733603,0.08246465547998687,586.1378961789981,16.356500862662113,586.004962958305,0.4178893923741117,1415637.311141416,26494123.956564173,14699451401.701193,698929586.6959021,0,0,560239.7474510088,783712.2008302079,652921.4498805918,26525475.753805857,596.402793544123,567.2755883553936,594.7353066374775,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.3971266988883158,1.9667506151116474,4.032950659423181,13.716898784951027,44.758760469833035,43.34917824284919
10,28922502.584513273,25078927.030578893,22907943.082298495,1.9560435694084481,0.28993004945606143,1.9075440142493663,0.07453477286684013,622.9287015297532,18.893560989768126,622.6097007172679,0.43769665700504934,2975490.4028124437,25883433.48511094,14270015238.973694,725678552.0731106,0,0,1408063.5187227249,2181965.450248537,795980.4570397796,25874907.487618674,633.6153199091177,601.113786845024,634.0569978351178,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.751032065368316,2.1610550734485803,2.758535982167609,10.61939546341299,44.758760469833035,43.34917824284919
