id,amazonBiomeArea_ha_43Sites,forestArea_1985_ha_43Sites,forestArea_2017_ha_43Sites,theta_43Sites,thetaSD_43Sites,thetaBootstrap_43Sites,thetaSDBootstrap_43Sites,gamma_43Sites,gammaSD_43Sites,gammaBootstrap_43Sites,gammaSDBootstrap_43Sites,z_2017_43Sites,zbar_2017_43Sites,x_2017_43Sites,b_43Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2006,pasture_area_2017,z_1985_43Sites,zbar_1985_43Sites,gamma2010_43Sites,gamma2017_43Sites,gamma2018_43Sites,gamma2019_43Sites,gamma2020_43Sites,gamma2021_43Sites,gamma2022_43Sites,a_43Sites,k_43Sites,zeta_43Sites,zeta_alt_43Sites,rho_43Sites,r_43Sites,theta2017_43Sites,theta2006_43Sites,thetaProfit2017_43Sites,thetaProfit2006_43Sites,p_2017_43Sites,p_2017_alt_43Sites
1,670898.19871837,665685.8810407269,668167.7905188578,0.009565399189165168,0.007165890232455008,0.008741881828890108,0.0037873259183017283,515.2497188037256,17.814649368352594,515.1953268203954,2.037222006176867,250.80078773591563,668418.5913065937,344273266.1785481,15500665.497312967,1,1,0.3553314958207127,0.18121261402108943,503.3885325364953,666189.2695732634,495.0260526315789,528.6195001759943,522.1036036036036,320.36549707602336,318.22180851063825,321.6402341671101,328.64508276533593,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.014632448765772549,0.004498349612557786,-1.6427876612278751,1.135166377489454,44.758760469833035,43.34917824284919
2,2797514.3793997997,2784987.474286034,2775948.3757520085,0.04701633601673187,0.00492627863348375,0.04888869457118881,0.018653201214236432,576.7764699275807,29.60266466358157,576.5157643395895,1.36469356077225,3534.568207268975,2779482.9439592776,1601101704.8674448,72153201.8771027,0,0,104407.58672576997,144342.104918824,5190.216419311545,2790177.6907053455,542.6175488793514,594.9485602151959,592.7633006881948,412.9460065199674,415.92475141091103,415.45028844420403,428.7302606622229,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.050499741044482634,0.04353293098898112,2.262563867486849,2.8673420123904165,44.758760469833035,43.34917824284919
3,11329567.311328072,7325917.978992552,6892421.215765775,0.09420723006557208,0.01910775180494293,0.10230946367923305,0.04240203275967562,555.409320452677,28.30755080838121,555.0243794217164,0.7826487638814865,564439.1039092198,7456860.319674995,3828114983.722083,186403143.33446068,0,0,495171.82372828026,789529.8379787034,102425.24351682284,7428343.222509375,522.7255598804084,572.1336649986423,571.3687364789803,354.01784439685935,356.95387301023726,357.8234526914868,357.58148646994,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.10771845094007672,0.08069600919106744,3.0175755391597576,4.781697787677794,44.758760469833035,43.34917824284919
4,780417.768778062,628823.2592679297,630053.0069057535,1.075414168386137,0.09505045002422365,1.1209872924636906,0.20840025453586913,621.7383723807922,33.82612710923396,621.458258375563,2.839551552534493,650.6406752988532,630703.6475810524,391728131.0272072,17648876.93170556,0,0,4131.602003621947,6106.9313719761,835.5009408454658,629658.7602087752,582.679746835443,641.1105129829006,641.4248573240329,450.02175749894377,447.1509294465568,453.30329949238575,460.2874040920716,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.0082033506191752,1.1426249861530984,2.3709688900340145,5.434191389354852,44.758760469833035,43.34917824284919
5,3486282.299816459,3330228.588996457,3337154.4285321534,1.3453499734809662,0.06818401422315588,1.3566943968175018,0.10464503172802789,696.2020645048771,42.05506253430643,696.2420369498564,1.2118547592162552,968.820082036218,3338123.2486141897,2323333802.715678,104597603.52426009,0,0,14998.740874994117,17462.96183628409,2850.1531012575597,3333078.7420977145,647.8625347636074,724.3837719298245,716.3598868211992,442.04726913796884,442.42339002762026,450.73346430910277,448.78488612836435,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.3935633523066797,1.2971365946552527,3.3458455632811335,6.534405792778427,44.758760469833035,43.34917824284919
6,3994888.0852825907,3238591.662704198,3220241.2807713803,1.4326044116490413,0.48164938379069566,1.5283008735143115,0.1550468363048043,686.8293705846908,27.603542369938545,686.604953327893,1.4066122174013673,27535.746897144163,3247777.0276685245,2211756292.0030456,100396627.45665178,0,0,62744.647573739916,120157.0064079737,22068.38500745674,3260660.047711655,655.2924297924297,706.6005370057597,698.5951449558829,399.49393656716416,400.8101036840944,401.3817204301075,412.440379403794,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,1.7731819570817642,1.0920268662163184,4.0510901725052655,11.041486655803494,44.758760469833035,43.34917824284919
7,13016293.023594525,12769575.41491028,12784292.790455919,0.009565399189165167,0.007165890232455007,0.008726890057061351,0.003249977453804283,501.3058100849136,12.498956453120703,501.3143773028511,0.38539026219103817,4716.298642953472,12789009.089098873,6408840253.682225,288551737.8049206,1,1,98.00020870927787,47.521445450639874,13360.83145716892,12782936.246367449,486.98745164769764,510.03418373524835,506.89579487179486,323.45732158062674,312.8301321536566,323.390862659258,316.4453120224925,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.014632448765772547,0.004498349612557786,-1.6132074290645066,-1.0266077218241918,44.758760469833035,43.34917824284919
8,14471944.19398176,13623772.785462111,13593163.432531912,0.44920814386494046,0.5838871786878251,0.49240402990669974,0.31206106211231,508.9023910640475,10.99340194736454,508.87019398642093,0.43520412572449213,22055.502922524414,13615218.935454436,6917593372.939865,311848156.3043013,0,0,466.95983499458316,199.82759318588054,32187.41334621085,13655960.198808322,496.2546683187022,516.1649847702291,514.2875201032111,336.44034332482994,330.5017466861728,335.9840409956076,341.392689120556,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.03633756036689792,0.862078727362983,-0.48463716225906117,-0.13900673958806484,44.758760469833035,43.34917824284919
9,16288854.932825636,14340199.790229026,13875866.439774798,0.57748982095735,0.3052271436587934,0.5574087657358049,0.13095795378272776,502.8777040703463,12.760749169930682,502.7982113352461,0.3743254702438646,300211.1750508643,14176077.614825662,6977863857.22072,320850354.3827398,0,0,121427.84148222159,170935.27213757287,78307.02465311167,14418506.814882139,488.1738662889815,511.0570196327459,509.4022262893115,344.7486376082555,339.595320917621,340.87180997251664,342.95119717740846,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.3616616378740167,0.7933180040406833,1.8616919336895905,3.6960960573494015,44.758760469833035,43.34917824284919
10,15870110.280742329,15370932.841748344,15334175.08337272,1.1299990339989092,0.2828286644482607,1.0782367111574114,0.1348782049050943,602.3615585808187,25.141951558210454,602.3043691371983,0.4194475372335953,99294.63938700294,15433469.722759722,9236717602.771547,418412723.7088241,0,0,100105.55127878331,146188.79553590983,66705.84461865498,15437638.686367,573.3658232678395,618.1057120793747,615.6131403952421,427.1129825712144,431.53326773498264,425.3057217256668,438.61886881013845,0.045007413978564004,2.0942152550133404,1.6615974249023087e-4,2.0579009766144875e-4,0.02,0.025,0.9300089674536095,1.329989100544209,2.197934975829274,5.1611760449567665,44.758760469833035,43.34917824284919
